jd,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,F10,F81,S10,S10B,XM10,XM10B
2458050.0,15,3,7,7,3,3,3,3,78.0,75.6,67.3,64.3,81.1,77.2
2458051.0,7,3,7,15,27,48,15,27,77.5,75.5,67.8,64.2,84.2,77.0
2458052.0,27,27,48,15,7,15,15,27,78.8,75.4,68.1,64.1,85.9,76.9
2458053.0,27,7,27,27,27,27,15,3,77.3,75.4,68.2,64.0,88.0,76.9
2458054.0,15,3,3,3,0,0,7,7,76.0,75.3,68.0,64.0,87.9,76.8
2458055.0,7,7,7,7,3,3,3,3,75.4,75.3,67.7,63.9,87.4,76.7
2458056.0,3,7,3,3,3,3,3,0,75.3,75.2,67.3,63.8,86.8,76.7
2458057.0,3,3,0,0,3,0,0,3,75.6,75.2,66.7,63.8,85.0,76.6
2458058.0,3,0,0,3,7,0,0,0,75.4,75.2,66.1,63.7,83.8,76.5
2458059.0,3,0,3,3,3,3,3,3,72.6,75.2,65.3,63.7,81.1,76.5
2458060.0,15,7,7,3,7,3,7,15,73.6,75.1,64.5,63.6,76.7,76.4
2458061.0,27,7,7,7,15,3,3,3,73.2,75.0,63.6,63.6,74.7,76.4
2458062.0,3,3,3,3,3,3,3,3,72.1,74.8,62.6,63.5,69.3,76.3
2458063.0,3,3,0,0,0,0,3,3,71.1,74.6,61.5,63.4,70.6,76.1
2458064.0,3,0,0,0,0,0,3,0,69.4,74.4,60.4,63.3,69.2,75.9
2458065.0,3,15,27,48,27,27,80,80,68.3,74.1,59.5,63.1,69.5,75.6
2458066.0,80,80,15,48,48,48,15,48,67.6,73.9,58.7,63.0,67.8,75.3
2458067.0,27,27,15,15,15,27,15,27,65.8,73.6,58.2,62.9,64.9,75.0
2458068.0,15,27,27,27,27,27,15,15,68.6,73.5,58.0,62.7,68.9,74.8
2458069.0,15,7,7,7,7,3,3,3,67.3,73.3,58.3,62.6,67.3,74.5
2458070.0,3,7,3,3,3,3,7,7,69.4,73.2,58.9,62.5,67.8,74.3
2458071.0,7,7,7,7,3,7,3,3,72.1,73.1,59.8,62.3,68.3,74.1
2458072.0,15,15,15,7,3,15,7,15,74.4,72.9,60.8,62.2,70.9,73.9
2458073.0,7,15,15,27,7,27,15,7,74.2,72.8,61.9,62.1,71.2,73.8
2458074.0,27,27,15,7,3,3,7,15,73.2,72.7,62.9,62.0,74.0,73.6
2458075.0,3,7,7,15,7,0,0,3,76.4,72.5,63.8,62.0,74.9,73.6
2458076.0,7,7,7,7,7,3,3,7,76.1,72.5,64.6,61.9,79.7,73.5
2458077.0,3,7,15,3,0,0,3,3,74.4,72.5,65.1,61.8,80.7,73.5
2458078.0,3,3,0,3,3,7,15,27,73.6,72.5,65.3,61.8,83.1,73.4
2458079.0,27,48,48,27,15,15,27,27,73.2,72.5,65.4,61.8,81.6,73.4
2458080.0,15,15,7,7,15,7,15,7,73.4,72.5,65.2,61.7,82.0,73.4
2458081.0,7,3,15,15,7,7,7,15,72.4,72.5,64.9,61.7,83.6,73.3
2458082.0,15,7,7,3,0,0,15,15,74.1,72.5,64.5,61.6,80.2,73.3
2458083.0,27,15,7,3,0,3,3,0,74.3,72.5,64.0,61.6,80.0,73.2
2458084.0,0,0,3,3,3,3,3,3,75.5,72.4,63.3,61.5,77.9,73.2
2458085.0,7,3,3,3,7,3,7,3,73.6,72.4,62.6,61.5,75.4,73.1
2458086.0,27,7,7,7,7,3,3,3,71.9,72.4,61.8,61.4,71.9,73.0
2458087.0,3,3,7,3,0,3,3,7,72.6,72.4,61.0,61.3,73.9,72.9
2458088.0,7,27,3,3,15,15,7,15,71.7,72.3,60.2,61.3,70.3,72.9
2458089.0,7,15,7,3,3,15,7,3,70.2,72.2,59.4,61.2,69.9,72.8
2458090.0,3,0,3,3,0,15,3,3,71.5,72.1,58.6,61.1,68.7,72.7
2458091.0,0,0,0,3,0,0,0,3,69.0,72.1,57.9,60.9,65.3,72.5
2458092.0,0,0,7,3,7,27,15,27,68.4,72.0,57.3,60.8,64.6,72.3
2458093.0,27,15,27,48,48,27,27,27,67.9,71.9,56.9,60.7,64.1,72.1
2458094.0,15,27,15,7,15,15,15,7,68.3,71.8,56.7,60.6,67.3,71.9
2458095.0,7,15,7,3,15,15,7,7,67.9,71.7,56.8,60.4,64.3,71.7
2458096.0,7,7,7,3,7,3,3,3,69.9,71.7,57.2,60.3,66.0,71.5
2458097.0,3,3,3,3,3,3,3,0,71.1,71.6,57.8,60.2,64.9,71.2
2458098.0,0,0,3,0,3,3,0,3,72.0,71.6,58.5,60.1,67.9,71.0
2458099.0,3,15,15,7,15,7,15,3,72.3,71.5,59.1,60.0,71.0,70.8
2458100.0,15,15,15,15,7,15,27,15,71.4,71.4,59.7,59.9,69.9,70.6
2458101.0,3,3,7,3,7,7,15,15,72.1,71.4,60.2,59.8,71.2,70.5
2458102.0,15,3,3,3,3,0,3,3,72.1,71.4,60.5,59.7,71.0,70.4
2458103.0,3,3,3,3,7,3,3,7,71.7,71.3,60.7,59.7,70.1,70.3
2458104.0,0,0,3,3,3,3,3,7,71.3,71.3,60.8,59.6,73.6,70.2
2458105.0,15,15,48,15,15,27,48,27,71.0,71.3,60.8,59.5,72.1,70.2
2458106.0,27,27,27,15,15,7,7,3,71.6,71.3,60.9,59.5,73.2,70.1
2458107.0,3,3,3,3,3,7,7,15,68.8,71.3,60.9,59.5,72.0,70.0
2458108.0,7,7,3,7,3,3,7,0,74.2,71.4,60.9,59.4,74.0,70.0
2458109.0,3,3,3,3,3,3,0,0,76.0,71.4,60.9,59.4,74.9,69.9
2458110.0,0,3,3,0,0,0,0,3,75.3,71.4,60.9,59.3,73.8,69.9
2458111.0,3,15,7,7,3,0,3,3,76.2,71.4,60.7,59.3,75.5,69.8
2458112.0,3,7,7,15,15,15,15,15,76.1,71.4,60.6,59.3,73.4,69.8
2458113.0,15,3,7,15,3,7,15,7,75.7,71.3,60.3,59.2,72.2,69.7
2458114.0,15,15,3,7,3,3,27,15,71.8,71.3,60.0,59.1,72.8,69.6
2458115.0,7,15,7,3,3,7,7,7,71.0,71.3,59.8,59.1,69.1,69.5
2458116.0,3,3,7,3,7,7,3,7,71.1,71.3,59.7,59.0,69.1,69.4
2458117.0,3,3,0,3,3,3,7,3,71.5,71.3,59.7,59.0,68.3,69.3
2458118.0,3,3,3,0,3,3,3,7,70.4,71.3,59.9,58.9,65.2,69.2
2458119.0,3,0,0,0,0,3,7,7,70.7,71.4,56.7,58.8,65.6,69.0
2458120.0,15,27,7,7,15,3,3,3,69.1,71.4,56.9,58.7,63.1,68.8
2458121.0,7,3,3,3,7,3,7,3,69.5,71.5,57.0,58.7,66.3,68.7
2458122.0,3,3,3,3,3,3,3,3,70.7,71.6,57.0,58.6,66.5,68.5
2458123.0,3,3,3,0,3,0,7,3,69.5,71.6,57.1,58.6,66.0,68.4
2458124.0,3,7,7,3,3,3,3,7,69.3,71.6,57.3,58.5,65.2,68.3
2458125.0,7,0,3,0,0,0,3,0,69.4,71.6,57.3,58.4,66.8,68.2
2458126.0,3,0,0,0,0,3,3,3,69.9,71.5,57.3,58.4,66.0,68.1
2458127.0,0,0,15,3,27,15,7,7,70.3,71.5,57.8,58.3,66.1,68.0
2458128.0,27,7,7,7,7,7,7,7,70.8,71.5,58.1,58.3,67.2,67.9
2458129.0,7,7,3,3,3,3,3,0,70.4,71.4,58.1,58.3,67.8,67.8
2458130.0,0,3,0,0,3,3,3,3,70.8,71.4,57.8,58.2,68.3,67.7
2458131.0,3,3,3,3,3,7,3,0,70.9,71.4,57.5,58.2,67.6,67.6
2458132.0,0,3,7,3,7,7,15,7,70.8,71.4,57.1,58.1,67.7,67.5
2458133.0,48,27,7,7,7,7,3,7,70.5,71.4,57.6,58.1,69.2,67.5
2458134.0,27,7,15,7,3,7,7,7,70.2,71.5,57.7,58.1,69.2,67.5
2458135.0,7,0,3,7,3,3,3,3,71.1,71.5,58.2,58.0,72.0,67.5
2458136.0,3,0,0,3,3,0,3,3,70.9,71.5,58.6,58.0,69.4,67.4
2458137.0,0,3,0,0,0,3,3,3,71.1,71.5,58.7,58.0,68.3,67.4
2458138.0,3,15,15,7,3,3,7,7,70.8,71.5,58.3,57.9,68.4,67.4
2458139.0,15,15,15,3,3,3,7,3,69.6,71.4,57.8,57.9,67.6,67.3
2458140.0,3,3,7,15,15,7,15,15,68.3,71.4,57.1,57.8,65.6,67.2
2458141.0,15,15,7,7,3,7,15,15,70.1,71.3,56.7,57.8,64.4,67.1
2458142.0,7,7,3,3,3,3,0,0,70.5,71.3,56.7,57.7,66.9,67.0
2458143.0,0,3,0,3,15,15,3,27,69.9,71.2,56.7,57.7,63.9,66.9
2458144.0,15,15,7,7,3,15,7,7,70.3,71.2,56.5,57.6,64.7,66.8
2458145.0,15,7,15,3,0,3,7,7,69.8,71.1,56.1,57.5,62.4,66.7
2458146.0,15,7,3,7,3,3,7,3,68.8,71.1,55.6,57.5,64.6,66.6
2458147.0,3,3,0,3,7,3,3,7,68.5,71.0,55.1,57.4,61.3,66.5
2458148.0,3,0,7,7,3,3,3,3,68.2,71.0,54.9,57.4,60.0,66.4
2458149.0,3,15,7,3,3,0,3,3,68.9,70.9,55.0,57.3,64.5,66.3
2458150.0,0,0,7,7,7,7,3,15,69.2,70.8,55.4,57.2,65.3,66.2
2458151.0,7,3,0,3,0,0,3,3,69.0,70.8,55.8,57.2,64.6,66.1
2458152.0,7,3,3,3,3,3,0,0,68.8,70.7,56.2,57.1,65.3,66.0
2458153.0,0,0,3,3,0,3,7,3,69.2,70.6,56.6,57.0,63.1,65.9
2458154.0,0,3,0,3,0,3,7,3,73.0,70.5,57.3,57.0,64.4,65.8
2458155.0,15,7,7,7,15,7,3,3,74.0,70.4,58.1,56.9,66.7,65.7
2458156.0,3,7,7,7,3,0,3,3,75.3,70.4,58.8,56.9,65.8,65.6
2458157.0,3,3,3,7,7,0,0,0,76.6,70.4,59.1,56.8,71.2,65.6
2458158.0,3,3,3,3,3,0,3,7,77.5,70.4,59.1,56.7,67.9,65.5
2458159.0,3,15,3,0,0,0,3,7,78.1,70.4,59.2,56.7,67.7,65.5
2458160.0,3,7,3,15,7,7,7,3,78.2,70.3,59.4,56.6,69.9,65.4
2458161.0,3,0,0,3,0,3,3,3,78.2,70.3,59.8,56.6,72.3,65.4
2458162.0,0,3,7,3,0,0,7,3,78.6,70.3,60.0,56.6,70.7,65.4
2458163.0,0,3,3,3,3,3,3,3,75.9,70.3,59.8,56.5,70.9,65.4
2458164.0,3,0,0,0,0,0,3,7,75.3,70.3,59.4,56.5,71.7,65.4
2458165.0,3,0,7,3,7,27,15,15,72.5,70.2,59.0,56.4,69.4,65.3
2458166.0,7,7,7,3,3,3,7,7,71.5,70.2,58.6,56.4,67.0,65.3
2458167.0,15,27,15,7,15,7,3,7,69.0,70.2,58.1,56.4,64.1,65.2
2458168.0,27,7,15,7,15,27,7,7,70.3,70.2,57.4,56.4,61.9,65.2
2458169.0,48,27,7,7,7,7,27,15,69.1,70.2,56.5,56.4,60.8,65.1
2458170.0,15,3,0,3,3,3,3,0,70.5,70.2,55.7,56.4,63.1,65.1
2458171.0,0,0,3,7,3,3,3,3,67.6,70.1,55.2,56.4,61.9,65.1
2458172.0,7,3,3,7,7,15,27,27,69.7,70.1,54.8,56.4,61.5,65.0
2458173.0,7,27,15,48,7,7,15,7,70.0,70.1,54.5,56.4,60.4,65.0
2458174.0,15,15,15,7,7,0,3,3,70.0,70.0,54.2,56.4,67.0,65.0
2458175.0,3,0,3,0,0,7,7,7,69.2,70.0,54.2,56.4,60.7,64.9
2458176.0,7,7,7,7,7,3,3,15,72.0,69.9,54.5,56.4,64.1,64.9
2458177.0,27,48,7,7,27,7,3,3,70.0,69.9,54.8,56.3,64.0,64.8
2458178.0,7,7,3,7,7,3,3,3,69.9,69.9,54.9,56.3,63.5,64.8
2458179.0,3,7,3,3,3,3,7,7,67.2,69.8,54.9,56.3,62.4,64.8
2458180.0,7,3,3,3,3,3,3,3,67.8,69.8,55.0,56.4,60.0,64.8
2458181.0,3,0,7,7,7,3,7,15,67.8,69.8,55.3,56.4,61.8,64.8
2458182.0,15,7,7,3,3,3,3,3,67.5,69.8,55.6,56.4,61.9,64.9
2458183.0,7,3,3,3,3,7,3,3,67.6,69.8,55.7,56.4,62.1,64.9
2458184.0,7,3,3,3,3,7,3,3,67.6,69.8,55.6,56.5,65.4,64.9
2458185.0,3,0,3,0,0,0,7,3,67.8,69.8,55.6,56.5,64.7,65.0
2458186.0,0,3,7,3,0,0,3,3,66.6,69.8,55.6,56.5,65.3,65.0
2458187.0,15,15,3,3,3,3,15,27,67.5,69.8,55.7,56.6,64.1,65.0
2458188.0,27,27,15,7,7,3,7,7,67.7,69.9,55.8,56.6,65.5,65.1
2458189.0,15,7,7,3,3,3,3,3,67.8,69.9,55.8,56.7,65.5,65.1
2458190.0,3,0,0,3,3,3,3,0,68.1,70.0,55.8,56.8,67.2,65.2
2458191.0,0,3,7,3,3,3,3,0,68.6,70.1,55.8,56.8,66.9,65.3
2458192.0,3,0,3,3,3,27,15,27,67.7,70.2,55.8,56.9,67.4,65.4
2458193.0,27,15,7,15,3,15,15,27,69.0,70.2,55.5,56.9,65.2,65.5
2458194.0,15,27,15,15,15,27,15,27,68.6,70.2,55.2,56.9,62.8,65.6
2458195.0,27,15,15,7,7,3,7,15,69.7,70.2,55.0,56.9,62.7,65.6
2458196.0,15,15,3,3,15,27,48,80,69.1,70.1,55.0,56.9,62.8,65.7
2458197.0,48,27,15,3,7,7,7,15,70.3,70.1,55.0,56.9,63.7,65.7
2458198.0,15,15,3,3,7,0,7,7,68.8,70.0,55.0,56.9,61.4,65.7
2458199.0,7,7,3,0,3,0,7,3,69.3,69.9,54.8,56.9,64.0,65.7
2458200.0,3,7,3,3,3,7,15,15,68.5,69.8,54.5,56.9,63.2,65.7
2458201.0,27,15,7,15,7,7,27,27,68.1,69.6,54.2,56.9,64.9,65.7
2458202.0,7,7,7,7,7,7,7,15,67.6,69.5,54.0,56.9,63.7,65.5
2458203.0,27,27,15,15,7,7,7,27,68.3,69.4,53.8,56.8,63.7,65.5
2458204.0,15,15,15,7,7,7,7,15,67.8,69.3,53.6,56.8,64.0,65.4
2458205.0,15,15,15,7,7,3,0,3,68.3,69.2,53.6,56.8,63.0,65.4
2458206.0,3,0,3,3,0,0,0,0,68.6,69.1,54.3,56.8,61.6,65.3
2458207.0,0,0,3,7,3,7,3,3,69.0,69.1,56.1,56.8,61.2,65.4
2458208.0,7,7,3,3,3,3,3,3,68.8,69.1,56.8,56.8,62.5,65.5
2458209.0,15,7,7,7,7,3,3,3,69.0,69.1,56.9,56.9,64.9,65.6
2458210.0,7,3,3,7,7,3,3,3,69.0,69.1,57.3,56.9,65.8,65.7
2458211.0,7,3,3,3,7,7,3,3,68.4,69.1,57.8,57.0,65.8,65.9
2458212.0,7,7,7,0,0,0,0,0,67.8,69.1,57.3,57.1,65.1,66.0
2458213.0,0,3,3,7,7,7,3,7,68.5,69.2,57.2,57.2,64.7,66.1
2458214.0,15,7,3,3,3,15,15,7,66.4,69.2,57.6,57.2,64.8,66.2
2458215.0,3,3,3,3,3,7,3,3,67.3,69.2,57.8,57.3,67.3,66.2
2458216.0,3,3,3,3,3,3,0,7,66.8,69.2,57.7,57.4,67.5,66.4
2458217.0,3,7,0,3,3,7,7,7,67.9,69.1,57.9,57.4,66.9,66.4
2458218.0,7,3,15,7,7,7,7,27,68.7,69.1,58.5,57.5,68.4,66.5
2458219.0,7,27,27,15,15,15,7,15,68.5,69.1,58.6,57.6,68.2,66.6
2458220.0,48,27,27,7,7,0,3,7,68.3,69.1,58.6,57.6,66.5,66.6
2458221.0,7,7,15,7,7,7,7,15,70.0,69.2,58.8,57.7,65.6,66.7
2458222.0,27,7,7,7,7,3,7,7,69.7,69.2,58.9,57.8,66.2,66.8
2458223.0,7,7,0,3,7,7,7,7,69.5,69.3,59.0,57.9,67.2,67.0
2458224.0,7,7,3,3,7,3,3,7,70.6,69.4,59.2,58.0,67.7,67.2
2458225.0,3,3,0,3,3,0,0,3,69.2,69.5,58.7,58.1,68.3,67.3
2458226.0,3,3,3,3,3,3,0,7,69.3,69.6,58.6,58.1,66.4,67.5
2458227.0,3,7,3,7,7,7,3,3,70.8,69.7,58.9,58.3,65.8,67.6
2458228.0,0,3,0,7,3,0,3,0,70.8,69.8,59.4,58.4,64.4,67.7
2458229.0,27,48,80,80,27,27,48,15,73.0,69.9,63.0,58.4,66.3,67.9
2458230.0,15,15,15,7,7,15,15,3,76.8,70.0,59.4,58.6,69.8,68.1
2458231.0,7,7,7,3,7,3,3,7,75.7,70.1,59.6,58.7,70.8,68.2
2458232.0,15,7,3,3,3,3,7,7,73.9,70.2,59.4,58.8,72.4,68.3
2458233.0,3,0,7,3,7,3,7,7,72.9,70.2,59.2,58.9,73.2,68.4
2458234.0,7,7,7,3,3,0,0,3,70.8,70.2,58.7,59.0,71.5,68.6
2458235.0,7,3,3,3,3,0,3,7,69.4,70.3,58.3,59.1,71.3,68.7
2458236.0,3,0,3,3,7,15,7,7,68.7,70.3,58.4,59.2,71.0,68.8
2458237.0,7,3,3,3,3,3,3,3,70.2,70.3,58.7,59.3,69.2,68.9
2458238.0,3,0,3,3,7,3,0,3,71.1,70.3,58.9,59.4,70.4,68.9
2458239.0,15,7,3,3,7,7,7,3,70.2,70.2,58.4,59.4,68.8,69.0
2458240.0,0,3,3,0,3,0,3,3,68.4,70.3,57.8,59.5,65.3,69.1
2458241.0,3,7,3,3,3,3,3,0,67.1,70.3,57.3,59.6,65.3,69.1
2458242.0,3,3,3,3,3,3,3,7,66.5,70.3,57.1,59.7,62.8,69.2
2458243.0,3,3,3,3,3,3,3,3,67.8,70.3,57.4,59.8,65.3,69.3
2458244.0,3,3,0,15,15,48,27,48,67.6,70.4,57.9,59.9,68.3,69.5
2458245.0,80,27,15,15,15,15,27,48,67.2,70.4,58.5,60.0,66.8,69.6
2458246.0,27,27,15,7,15,15,7,15,69.6,70.5,59.1,60.2,66.2,69.7
2458247.0,15,15,15,15,7,27,27,7,69.6,70.5,61.1,60.3,69.6,69.9
2458248.0,15,15,15,7,15,7,27,27,69.6,70.6,60.4,60.4,71.5,70.0
2458249.0,15,15,15,15,7,15,3,7,69.6,70.7,61.0,60.5,73.1,70.2
2458250.0,7,27,27,7,15,7,27,27,70.3,70.8,61.1,60.6,72.9,70.4
2458251.0,15,27,7,7,3,3,7,7,69.8,71.0,60.6,60.7,71.5,70.7
2458252.0,7,7,7,7,7,7,7,7,70.9,71.1,60.9,60.8,72.1,70.9
2458253.0,7,3,7,3,3,3,3,7,70.3,71.2,61.4,60.9,69.8,71.0
2458254.0,3,3,3,3,3,3,3,7,70.3,71.3,61.1,61.0,71.3,71.2
2458255.0,0,0,3,3,3,3,7,7,69.9,71.4,60.2,61.1,69.9,71.3
2458256.0,15,7,7,15,15,7,7,7,69.0,71.4,59.9,61.2,69.2,71.4
2458257.0,7,3,3,3,3,3,3,3,69.4,71.5,59.7,61.3,70.2,71.5
2458258.0,0,3,0,3,3,3,3,3,70.3,71.5,59.4,61.3,68.2,71.6
2458259.0,3,3,7,3,3,3,0,0,68.8,71.5,59.3,61.4,69.5,71.7
2458260.0,0,3,3,3,0,3,0,3,69.6,71.5,59.3,61.4,67.6,71.7
2458261.0,3,3,7,3,3,3,7,7,70.8,71.5,60.1,61.4,68.7,71.7
2458262.0,7,7,15,15,15,7,3,7,73.1,71.4,62.4,61.4,71.2,71.7
2458263.0,7,7,3,3,3,3,3,3,73.7,71.4,62.9,61.4,74.3,71.7
2458264.0,7,3,0,3,3,0,3,0,75.7,71.4,63.5,61.4,77.1,71.7
2458265.0,0,3,3,3,7,3,3,7,72.9,71.4,63.9,61.5,76.5,71.7
2458266.0,7,7,3,3,3,3,3,3,74.6,71.4,62.9,61.5,76.4,71.6
2458267.0,3,3,3,3,7,3,3,3,76.9,71.4,64.5,61.5,75.7,71.7
2458268.0,3,7,3,3,3,3,3,3,74.9,71.4,64.3,61.6,76.3,71.7
2458269.0,3,3,3,3,3,3,7,7,75.3,71.5,62.6,61.7,78.5,71.8
2458270.0,7,7,3,7,7,27,27,15,76.8,71.5,64.4,61.7,78.1,71.9
2458271.0,15,27,27,27,48,27,15,15,74.8,71.4,65.3,61.7,78.9,72.0
2458272.0,15,27,15,7,15,7,27,27,74.4,71.4,65.2,61.8,78.4,72.1
2458273.0,15,7,3,7,15,15,7,7,73.6,71.4,65.1,61.9,75.3,72.1
2458274.0,3,7,7,3,3,3,7,3,70.5,71.4,63.8,61.9,74.3,72.1
2458275.0,7,7,7,7,7,7,7,3,71.3,71.4,64.0,62.0,73.1,72.2
2458276.0,3,3,0,3,3,7,27,7,71.1,71.4,63.3,62.1,69.4,72.3
2458277.0,15,7,3,3,3,3,3,7,69.3,71.5,62.3,62.1,70.2,72.4
2458278.0,3,7,3,7,7,0,0,0,68.2,71.5,60.9,62.2,68.2,72.5
2458279.0,3,3,3,7,3,3,3,3,66.8,71.5,60.6,62.2,67.9,72.6
2458280.0,3,7,3,0,3,3,3,3,70.2,71.5,61.4,62.3,69.7,72.6
2458281.0,3,3,3,0,3,3,0,7,69.9,71.5,62.2,62.4,68.9,72.7
2458282.0,7,7,3,0,3,0,3,3,70.3,71.5,62.1,62.4,71.1,72.8
2458283.0,3,3,7,3,3,3,3,7,70.8,71.5,62.8,62.4,73.5,72.8
2458284.0,7,3,7,3,3,3,3,3,72.4,71.5,62.4,62.5,74.5,72.9
2458285.0,3,3,3,3,3,3,3,3,70.6,71.5,62.6,62.5,74.3,72.8
2458286.0,3,3,3,3,3,3,0,3,70.5,71.5,62.2,62.5,73.6,72.8
2458287.0,3,3,3,3,3,3,7,7,72.3,71.4,62.9,62.5,73.2,72.9
2458288.0,48,27,27,27,15,7,7,7,73.7,71.4,64.0,62.4,73.7,72.8
2458289.0,7,7,15,7,7,3,3,3,76.6,71.4,65.5,62.4,78.4,72.8
2458290.0,3,7,7,7,3,3,3,3,82.1,71.4,66.6,62.4,82.1,72.7
2458291.0,3,3,3,3,3,0,3,0,81.5,71.4,66.5,62.4,84.8,72.6
2458292.0,0,3,3,3,3,3,3,3,80.3,71.4,66.7,62.4,81.5,72.6
2458293.0,7,15,7,27,27,15,7,27,77.1,71.4,66.4,62.4,78.8,72.6
2458294.0,7,7,15,7,7,3,3,7,74.5,71.3,65.8,62.4,76.7,72.5
2458295.0,3,3,3,7,7,7,15,48,72.8,71.3,65.1,62.4,77.4,72.5
2458296.0,48,15,15,27,15,15,15,7,71.1,71.3,63.8,62.5,76.1,72.5
2458297.0,3,7,7,7,7,3,3,15,70.0,71.3,63.7,62.5,76.1,72.6
2458298.0,7,3,3,3,7,3,7,3,69.5,71.3,62.5,62.5,74.4,72.6
2458299.0,3,7,3,3,3,3,0,0,68.6,71.3,61.5,62.5,70.4,72.6
2458300.0,0,3,3,3,3,3,0,3,68.8,71.4,60.8,62.6,69.2,72.7
2458301.0,0,3,3,3,3,0,0,3,68.1,71.4,60.2,62.6,68.9,72.7
2458302.0,3,3,3,3,3,3,3,0,66.6,71.3,59.9,62.6,65.3,72.7
2458303.0,0,3,3,3,3,7,3,3,68.2,71.2,59.9,62.6,65.3,72.7
2458304.0,3,3,7,3,7,3,3,3,67.9,71.2,60.0,62.6,65.1,72.7
2458305.0,7,3,3,7,15,27,48,27,68.1,71.1,60.2,62.5,67.0,72.6
2458306.0,15,7,3,7,7,3,3,7,70.5,71.0,61.5,62.5,67.1,72.6
2458307.0,7,7,3,7,3,3,7,0,72.0,71.0,63.4,62.4,67.4,72.5
2458308.0,3,3,3,3,3,3,3,3,71.6,70.8,64.2,62.4,69.5,72.4
2458309.0,3,3,0,3,0,0,0,3,72.9,70.7,63.9,62.3,72.5,72.3
2458310.0,7,7,7,7,7,3,3,3,73.1,70.6,64.0,62.2,75.1,72.1
2458311.0,0,7,15,15,15,7,7,7,73.3,70.5,64.7,62.2,75.9,72.0
2458312.0,3,15,15,7,7,7,7,7,73.2,70.4,64.5,62.1,77.3,71.9
2458313.0,7,7,7,3,3,7,3,3,73.1,70.4,64.1,62.0,75.5,71.8
2458314.0,3,7,7,7,7,3,3,0,72.9,70.3,64.5,61.9,76.1,71.7
2458315.0,3,3,3,3,3,0,3,3,72.5,70.3,63.9,61.9,74.8,71.6
2458316.0,3,7,15,7,7,7,15,15,71.9,70.3,63.6,61.9,78.8,71.6
2458317.0,3,15,15,7,3,7,3,7,71.2,70.3,63.7,61.8,79.3,71.6
2458318.0,3,3,3,3,3,3,3,3,71.2,70.3,63.9,61.8,77.9,71.6
2458319.0,3,3,3,3,3,3,3,3,70.5,70.4,63.5,61.8,76.9,71.6
2458320.0,7,3,7,15,7,3,7,7,70.5,70.4,63.2,61.8,74.0,71.6
2458321.0,7,7,15,15,15,7,7,7,70.0,70.4,62.8,61.8,71.7,71.5
2458322.0,7,3,7,7,3,3,3,3,68.2,70.4,61.2,61.8,70.1,71.5
2458323.0,0,3,3,3,3,0,3,3,67.0,70.3,59.1,61.7,68.1,71.4
2458324.0,27,15,15,15,7,15,15,27,67.0,70.3,58.5,61.7,67.2,71.4
2458325.0,15,15,7,7,3,3,3,7,66.0,70.3,58.3,61.6,66.9,71.3
2458326.0,3,3,3,3,7,3,0,3,66.0,70.2,58.2,61.6,67.4,71.3
2458327.0,3,3,3,3,3,3,3,7,67.0,70.2,58.7,61.6,67.4,71.2
2458328.0,7,7,7,7,7,3,3,3,68.0,70.1,59.3,61.5,67.0,71.1
2458329.0,7,3,3,3,3,3,7,3,68.0,70.1,59.8,61.5,66.8,71.1
2458330.0,3,3,3,3,3,3,7,7,68.0,70.0,59.8,61.4,66.9,70.9
2458331.0,7,3,3,3,3,3,7,15,69.0,69.8,60.8,61.3,68.9,70.8
2458332.0,7,3,3,3,7,7,7,15,70.0,69.6,61.5,61.2,68.8,70.6
2458333.0,15,7,7,3,3,0,0,3,70.0,69.5,61.8,61.1,68.0,70.5
2458334.0,3,3,3,15,7,3,3,3,70.0,69.4,61.7,61.1,67.8,70.4
2458335.0,7,7,3,7,3,3,3,7,70.0,69.3,62.0,61.0,69.0,70.3
2458336.0,3,3,3,7,3,3,0,3,69.0,69.3,61.4,61.0,70.8,70.2
2458337.0,0,3,3,3,7,3,3,3,69.0,69.3,61.0,60.9,72.1,70.1
2458338.0,7,7,7,7,15,7,15,7,70.0,69.3,61.6,60.8,70.9,70.0
2458339.0,3,3,7,3,7,3,3,3,70.0,69.2,62.5,60.8,73.1,70.0
2458340.0,3,3,7,7,3,0,3,3,70.0,69.2,62.5,60.8,71.7,69.9
2458341.0,3,3,3,0,3,3,3,3,70.0,69.2,61.9,60.7,72.3,69.9
2458342.0,7,7,7,7,15,7,7,27,67.0,69.2,61.0,60.7,70.0,69.9
2458343.0,3,3,3,7,7,3,7,7,68.0,69.2,60.5,60.7,72.6,69.9
2458344.0,3,7,3,7,7,3,3,3,68.0,69.2,60.0,60.7,72.0,70.0
2458345.0,7,3,3,3,3,0,0,7,69.0,69.2,60.3,60.7,70.1,70.0
2458346.0,7,3,7,15,27,15,15,27,69.0,69.2,60.4,60.6,72.5,69.9
2458347.0,27,7,15,7,7,7,7,15,68.0,69.2,59.8,60.6,69.8,69.9
2458348.0,15,27,15,7,3,3,15,15,67.0,69.2,59.4,60.5,66.5,69.9
2458349.0,7,15,27,15,15,15,3,7,67.0,69.1,58.7,60.5,68.8,69.8
2458350.0,7,7,7,7,3,7,7,7,67.0,69.1,58.1,60.4,66.9,69.8
2458351.0,27,15,7,7,15,15,27,7,68.0,69.0,58.3,60.3,67.2,69.6
2458352.0,15,7,7,7,3,3,3,7,68.0,68.9,58.7,60.3,68.2,69.6
