jd,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,F10,F81,S10,S10B,XM10,XM10B
2457823.0,7,15,27,27,15,3,3,7,71.0,77.1,65.6,68.8,60.0,66.1
2457824.0,3,3,7,3,0,3,7,15,70.0,77.2,65.2,68.8,60.0,66.1
2457825.0,15,27,7,3,7,3,3,3,70.0,77.2,65.0,68.8,60.0,66.2
2457826.0,0,7,3,3,0,0,0,0,70.0,77.3,64.9,68.8,60.0,66.3
2457827.0,3,7,0,0,7,7,3,3,70.0,77.4,64.8,68.9,60.0,66.5
2457828.0,3,7,7,7,3,3,3,15,70.0,77.5,64.9,69.0,60.0,66.7
2457829.0,15,7,0,3,3,0,3,3,71.0,77.6,65.0,69.0,60.0,67.0
2457830.0,3,7,3,0,0,0,3,7,71.0,77.6,65.1,69.1,60.0,67.2
2457831.0,3,0,0,0,0,0,3,3,70.0,77.7,65.3,69.1,60.0,67.5
2457832.0,0,0,3,3,0,0,0,3,71.0,77.8,65.5,69.2,60.2,67.7
2457833.0,3,0,3,3,0,3,0,0,73.0,77.8,65.7,69.2,61.2,67.8
2457834.0,7,15,27,7,15,48,48,27,71.0,77.9,66.0,69.2,61.7,67.9
2457835.0,27,27,15,27,27,27,27,48,73.0,77.9,66.2,69.3,63.4,67.9
2457836.0,27,27,7,7,3,7,3,3,72.0,77.9,66.5,69.3,64.3,67.9
2457837.0,7,15,7,0,7,7,3,0,72.0,77.9,66.8,69.2,67.1,67.9
2457838.0,0,7,3,3,3,3,0,3,74.0,77.9,67.1,69.2,66.2,67.9
2457839.0,7,0,3,3,3,0,3,3,77.0,77.9,67.5,69.2,67.6,67.9
2457840.0,7,48,48,80,48,48,80,48,83.0,77.9,68.0,69.1,69.8,67.9
2457841.0,48,48,15,27,15,15,15,15,84.0,77.8,68.5,69.0,70.7,67.9
2457842.0,27,27,27,27,15,27,7,15,83.0,77.8,69.0,68.9,70.2,67.9
2457843.0,15,48,15,15,15,27,27,48,86.0,77.7,69.5,68.8,67.4,67.9
2457844.0,48,48,48,27,27,15,15,0,91.0,77.6,70.0,68.7,67.5,67.9
2457845.0,15,15,15,15,7,27,15,15,101.0,77.5,70.5,68.6,72.3,67.9
2457846.0,15,7,7,7,15,7,3,3,112.0,77.3,70.9,68.5,71.7,67.9
2457847.0,3,3,0,7,7,3,0,3,108.0,77.2,71.0,68.3,72.0,67.8
